BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
23,02392,WCS,1.3.3.x.2.y.1,C,5,2016/06/14 10:17,2016/09/01 15:00
24,02392,WCS,1.3.3.x.2.y.1,C,7,2016/06/14 09:37,2016/08/01 13:09
25,02392,WCS,1.3.3.x.2.y.1,C,8,2016/06/13 08:13,2016/09/01 14:56
26,02392,WCS,1.3.3.x.2.y.1,C,22,2016/06/13 08:07,2016/08/30 16:20
27,02392,WCS,1.3.3.x.3.y.1,C,18,2016/06/13 08:03,2016/06/20 14:16
28,02392,WCS,1.3.3.x.3.y.1,C,4,2016/05/31 11:29,2016/09/06 15:24
29,02392,WCS,1.3.3.x.3.y.1,C,1,2016/05/27 15:08,2016/06/20 16:09
30,02392,WCS,1.3.1.x.y.1.1,C,19,2016/05/27 15:07,2016/06/20 15:49
31,02471,WCS,1.3.3.x.2.y.1,C,2,2016/05/25 14:13,2016/09/02 16:24
32,02471,WCS,1.3.3.x.3.y.1,C,9,2016/05/25 14:11,2016/09/08 08:02
33,02471,WCS,1.3.3.x.3.y.1,C,16,2016/05/25 14:08,2016/09/02 16:20
34,02471,WCS,1.3.3.x.2.y.1,C,10,2016/05/25 14:06,2016/09/02 16:20
35,02247,WCS,1.5.x.y.3,C,17,2016/05/24 15:24,2016/09/21 12:42
36,02247,WCS,1.3.3.x.3.y.1,C,18,2016/05/24 15:23,2016/09/07 15:31
37,02392,WCS,1.3.3.x.2.y.1,C,8,2016/05/24 15:06,2016/09/02 11:34
38,02392,WCS,1.3.3.x.2.y.1,C,3,2016/05/24 15:05,2016/08/01 13:13
39,02392,WCS,1.3.3.x.2.y.1,C,17,2016/05/24 14:56,2016/09/01 14:49
40,02392,WCS,1.3.3.x.3.y.1,C,2,2016/05/24 14:55,2016/08/30 15:59
41,02392,WCS,1.3.3.x.3.y.1,C,11,2016/05/24 14:53,2016/09/01 14:48
42,02392,WCS,1.3.3.x.3.y.1,C,9,2016/05/24 10:00,2016/06/30 10:34
43,02392,WCS,1.3.3.x.2.y.1,C,1,2016/05/23 15:26,2016/06/21 14:53
44,02471,WCS,1.3.3.x.3.y.1,C,20,2016/05/20 11:59,2016/06/21 10:51
45,02471,WCS,1.3.3.x.2.y.1,C,8,2016/05/19 11:22,2016/09/02 16:23
46,02471,WCS,1.3.3.x.2.y.1,C,18,2016/05/19 11:21,2016/09/02 16:22
47,02471,WCS,1.3.3.x.3.y.1,C,2,2016/05/19 11:20,2016/09/02 16:14
48,02471,WCS,1.3.3.x.3.y.1,C,14,2016/05/19 11:20,2016/09/02 16:16
49,02471,WCS,1.3.3.x.3.y.1,C,10,2016/05/19 11:18,2016/09/02 15:52
50,02471,WCS,1.3.3.x.3.y.1,C,20,2016/05/19 11:17,2016/09/02 16:19
51,02471,WCS,1.3.3.x.2.y.1,C,12,2016/05/19 11:16,2016/09/02 16:15
52,02471,WCS,1.3.3.x.2.y.1,C,13,2016/05/18 16:14,2016/06/21 10:32
53,02392,WCS,1.3.3.x.2.y.1,C,20,2016/05/18 11:33,2016/06/21 14:46
54,02471,WCS,1.3.3.x.2.y.1,C,18,2016/05/18 08:22,2016/06/15 16:47
55,02392,WCS,1.5.x.y.3,C,16,2016/05/13 15:56,2016/09/21 12:20
56,02367,WCS,1.3.3.x.2.y.1,C,2,2016/05/12 16:08,2016/09/08 16:00
57,02367,WCS,1.3.3.x.3.y.1,C,16,2016/05/12 13:56,2016/08/24 16:35
58,02367,WCS,1.3.3.x.3.y.1,C,10,2016/05/12 13:56,2016/08/16 17:20
